trained_games,rand_games,rand_wins,rand_losses,rand_draws,rand_win_rate,greedy_games,greedy_wins,greedy_losses,greedy_draws,greedy_win_rate
250,2000,1654,315,31,0.827,2000,0,2000,0,0.0
500,2000,1644,325,31,0.822,2000,0,2000,0,0.0
750,2000,1655,314,31,0.8275,2000,0,2000,0,0.0
1000,2000,1660,308,32,0.83,2000,0,2000,0,0.0
1250,2000,1660,308,32,0.83,2000,0,2000,0,0.0
1500,2000,1661,306,33,0.8305,2000,0,2000,0,0.0
1750,2000,1661,306,33,0.8305,2000,0,2000,0,0.0
2000,2000,1661,306,33,0.8305,2000,0,2000,0,0.0
2250,2000,1660,308,32,0.83,2000,0,2000,0,0.0
2500,2000,1660,308,32,0.83,2000,0,2000,0,0.0
2750,2000,1658,311,31,0.829,2000,0,2000,0,0.0
3000,2000,1656,313,31,0.828,2000,0,2000,0,0.0
3250,2000,1655,314,31,0.8275,2000,0,2000,0,0.0
3500,2000,1654,315,31,0.827,2000,0,2000,0,0.0
3750,2000,1654,315,31,0.827,2000,0,2000,0,0.0
4000,2000,1654,315,31,0.827,2000,0,2000,0,0.0
